id,name,year,location,latitude,longitude,url,status
0,6 Times (Figure I),2010,"Water of Leith, Edinburgh, Scotland",55.95008363,-3.228595934,https://www.antonygormley.com/works/sculpture/permanent/6-times,1
1,7 Times (Figure II),2010,"Water of Leith, Edinburgh, Scotland",55.95118355,-3.225297946,https://www.antonygormley.com/works/sculpture/permanent/6-times,
2,8 Times (Figure IIII),2010,"Water of Leith, Edinburgh, Scotland",55.95819491,-3.208878658,https://www.antonygormley.com/works/sculpture/permanent/6-times,
3,9 Times (Figure IV),2010,"Water of Leith, Edinburgh, Scotland",55.96759562,-3.194258808,https://www.antonygormley.com/works/sculpture/permanent/6-times,
4,10 Times (Figure V),2010,"Water of Leith, Edinburgh, Scotland",55.97192991,-3.183396928,https://www.antonygormley.com/works/sculpture/permanent/6-times,
5,11 Times (Figure VI),2010,"Water of Leith, Edinburgh, Scotland",55.98427299,-3.176415874,https://www.antonygormley.com/works/sculpture/permanent/6-times,
6,A Door for the Stuart Gates,2021,"Trinity College, University of Oxford, England",51.756083,-1.25525,https://www.antonygormley.com/works/sculpture/permanent/a-door-for-the-stuart-gates,
7,A Sculpture for the Subjective Experience of Architecture,2008,"Kivik, Sweden",55.673426,14.241283,https://www.antonygormley.com/works/sculpture/permanent/a-sculpture-for-subjective-experience-of-architecture,
8,Alert,2022,"Imperial College London, England",51.498922,-0.174722,https://www.antonygormley.com/works/sculpture/permanent/alert-2022,
9,Allotment III,2008,"University of Monterrey, Mexico",24.660726,-100.4203,https://www.antonygormley.com/works/sculpture/permanent/allotment-iii,
10,Angel of the North,1998,"Gateshead, England",54.9141254,-1.5916828,https://www.antonygormley.com/works/sculpture/permanent/angel-of-the-north,
11,Another Place,1997,"Crosby Beach, Merseyside, England",53.4909747,-3.0605476,https://www.antonygormley.com/works/sculpture/permanent/another-place,
12,Another Singularity,2009,"Tokamachi City, Niigata Prefecture, Japan",37.07268,138.77664,https://www.antonygormley.com/works/sculpture/permanent/another-singularity-japan,
13,Another Time,2017,"Margate, England",51.39238922979265,1.3816145129625068,https://turnercontemporary.org/whats-on/exhibitions/another-time,1
14,Another Time X,2008,"Maggie’s Centre, Dundee, Scotland",56.4624148,-3.0428533,https://www.antonygormley.com/works/sculpture/permanent/another-time-x,
15,Another Time XI,2008,"Exeter College, Oxford, England",51.75425558,-1.256482826,https://www.antonygormley.com/works/sculpture/permanent/another-time-xi,
16,Another Time XVI,2012,"Limehouse Reach, London, England",51.5089923,-0.03449,https://www.antonygormley.com/works/sculpture/permanent/another-time-xvi,
17,Another Time XVIII,2013,"Folkestone, England",51.07673068,1.191638036,https://www.creativefolkestone.org.uk/artists/antony-gormley-artworks/,
18,Another Time XX,2013,"Kunisaki Peninsula, Japan",33.6277222,131.6034167,https://www.antonygormley.com/works/sculpture/permanent/another-time-xx,
19,Bare V,2014,"Erzdiozese Munchen, Munich, Germany",48.1323,11.5983369,https://www.antonygormley.com/works/sculpture/permanent/bare-v,
20,Bearing III,1997,"Tongyeong City, South Korea",34.840583,128.429818,https://www.antonygormley.com/works/sculpture/permanent/bearing-iii,
21,Broken Column,2003,"Tifluktsrom, Stavanger, Norway",58.9704986,5.7303649,https://www.antonygormley.com/works/sculpture/permanent/broken-column,
22,Chord,2015,"MIT, Cambridge, Massachusetts, USA",42.3631626,-71.0926482,https://www.antonygormley.com/works/sculpture/permanent/chord,
23,Cloud Chain,2012,"French National Archives, Paris, France",48.8599697,2.3572959,https://www.antonygormley.com/works/sculpture/permanent/cloud-chain,
24,Connect,2015,"Holland Park School, London, England",51.5047889,-0.2003235,https://www.antonygormley.com/works/sculpture/permanent/connect,
25,Drift,2009,"Marina Bay Sands, Singapore",1.2846547,103.8609937,https://www.antonygormley.com/works/sculpture/permanent/drift,
26,Exposure,2010,"Lelystad, the Netherlands",52.521953,5.4253192,https://www.antonygormley.com/works/sculpture/permanent/exposure,
27,"Fai Spazio, Prendi Posto (Making Space, Taking Place)",2004,"Poggibonsi, Italy",43.4685584,11.1376636,https://www.antonygormley.com/works/sculpture/permanent/fai-spazio-prendi-posto-making-space-taking-place,
28,Feel,2001,"Wellcome Collection, London, England",51.526033,-0.134058,https://www.antonygormley.com/works/sculpture/permanent/feel,1
29,Firmament,2008,"Jupiter Artland, Edinburgh, Scotland",55.900743,-3.421232,https://www.antonygormley.com/works/sculpture/permanent/firmament,
30,Grip,2014,"Saddell Bay, Mull of Kintyre, Scotland",55.5268525,-5.5014542,https://www.antonygormley.com/works/sculpture/permanent/grip,
31,Ground,2025,"Museum SAN, Wonju, South Korea",37.41912289857986,127.8232613208938,https://www.antonygormley.com/works/sculpture/permanent/ground,
32,Habitat,2010,"Anchorage, Alaska, USA",61.2163051,-149.8884068,https://www.antonygormley.com/works/sculpture/permanent/habitat,
33,Havmann,1994,"Mo i Rana, Norway",66.3101601,14.1274651,https://www.antonygormley.com/works/sculpture/permanent/havmann,
34,Here and Here,2001,"Municipality of Höganäs, Sweden",56.199503,12.557791,https://www.antonygormley.com/works/sculpture/permanent/here-and-here,
35,Here and There,2002,"Izumi City Plaza, Osaka, Japan",34.1751492,135.4602919,https://www.antonygormley.com/works/sculpture/permanent/here-and-there,
36,Inside Australia,2003,"Lake Ballard, Menzies, Western Australia",-29.4611752,120.749213,https://www.antonygormley.com/works/sculpture/permanent/inside-australia,
37,Iron:Man,1993,"Victoria Square, Birmingham, England",52.4789949,-1.904861,https://www.antonygormley.com/works/sculpture/permanent/iron-man,
38,Learning to See III and Under My Skin,1993,"Staatliche Kunstsammlungen Dresden: SKD, Dresden, Germany",51.052639,13.736667,https://www.antonygormley.com/news/learning-to-see-iii-and-under-my-skin-now-on-permanent-display-at-staatliche-kunstsammlungen,
39,Learning to See VI,1995,"Jesus College, Cambridge, England",52.208466,0.124341,https://www.antonygormley.com/works/sculpture/permanent/learning-to-see,
40,Look II,2017,"West Hoe Pier, Plymouth, England",50.363074934784166,-4.147002013961376,https://www.antonygormley.com/works/sculpture/permanent/look-ii,
41,Making Space,2004,"Heart Science Centre, Harefield, England",51.6058236,-0.4831649,https://www.antonygormley.com/works/sculpture/permanent/making-space,
42,Man:Rock V,2024,"Niigata Prefecture, Japan",37.3695,138.8965,https://www.antonygormley.com/works/sculpture/permanent/man-rock-v,
43,Mark II,2014,"Erzdiozese Munchen, Munich, Germany",48.1394124,11.5689943,https://www.antonygormley.com/works/sculpture/permanent/mark-ii,
44,Mind-Body Column,2000,"Garden City, Osaka, Japan",34.699087,135.491727,https://www.antonygormley.com/works/sculpture/permanent/mind-body-column,
45,Open Space,1991,"Place Jean Monnet, Ville de Rennes, France",48.1033938,-1.6878374,https://www.antonygormley.com/works/sculpture/permanent/open-space,
46,Out of the Dark,1987,"Martinsplatz, Kassel, Germany",51.3168624,9.5000296,https://www.antonygormley.com/works/sculpture/permanent/out-of-the-dark,
47,Passage,2000,"Caumont, Picardie, France",49.6313504,3.1787161,https://www.antonygormley.com/works/sculpture/permanent/passage,
48,Place of Remembrance,2000,"Oslo, Norway",59.9043812,10.7375367,https://www.antonygormley.com/works/sculpture/permanent/place-of-remembrance,
49,Places to Be #1,1985,"Peterborough, England",52.57274679,-0.2448478056,https://www.antonygormley.com/works/sculpture/permanent/places-to-be,
50,Places to Be #2,1985,"Peterborough, England",52.57241425,-0.2424552752,https://www.antonygormley.com/works/sculpture/permanent/places-to-be,
51,Places to Be #3,1985,"Peterborough, England",52.57330103,-0.2436890913,https://www.antonygormley.com/works/sculpture/permanent/places-to-be,
52,Planets,2002,"The British Library, London, England",51.5299996,-0.1280864,https://www.antonygormley.com/works/sculpture/permanent/planets,
53,Plant,2002,"McDonald Institute for Archaeological Research, Cambridge, England",52.2027,0.1219,https://www.antonygormley.com/works/sculpture/permanent/plant,
54,Quantum Cloud,2000,"River Thames, Greenwich Peninsula, London, England",51.5018139,0.0091839,https://www.antonygormley.com/works/sculpture/permanent/quantum-cloud,
55,Reflection,2001,"Regent’s Place, London, England",51.5244224,-0.1440789,https://www.antonygormley.com/works/sculpture/permanent/reflection,1
